"time","intercept","intercept_se","sigma2","lambda","lambda_se","lambda_p_value","significance_code"
246,0.186613645971461,0.101260794689364,0.372448336077747,0.102846950492046,0.035056917727244,0.126596194410776," "
248,0.0461476729226896,0.100161197376068,0.342994814671561,0.109775426809063,0.0217755183123717,0.0159241667799873,"*"
250,0.353794092414512,0.0760124584276795,0.276020570179397,0.0656758720844348,0.0582584256941541,0.334398556979554," "
252,0.0748916694714288,0.099503552754263,0.385243924539096,0.094448810351728,0.0396665271879833,0.113952149593321," "
254,0.471046349623059,0.0695917318557216,0.305116503102439,0.0162291222968709,0.0790980895262307,0.840333603599632," "
256,0.021473047369391,0.114574200923623,0.462123132262445,0.106482619142279,0.0266324812712125,0.0401093793688333,"*"
258,0.399584029948833,0.110676550476126,0.416456063988472,0.110394936979031,0.0212094673622089,0.0157897969628393,"*"
260,0.102657943991119,0.12161717235197,0.475148642863113,0.116478100457025,0.0133924962089204,0.00331400603875498,"**"
262,0.471940978489203,0.101184746231106,0.357064774549474,0.107547997866084,0.0235474136965319,0.0162741870811072,"*"
264,0.127047166292057,0.0843478684909055,0.322635248554303,0.0735436066321773,0.0560090022582008,0.281415339806268," "
266,0.30030658523167,0.114478443936296,0.502757536384854,0.0962244296552638,0.0351478804696142,0.0719683723757039,"."
268,-0.28493282521584,0.0857284905494955,0.296816697486631,0.0896536903319308,0.0497973074799385,0.209561487886375," "
270,0.132817766989994,0.0819782200005697,0.243119919010424,0.103323856139801,0.0278744193632701,0.0306390068206354,"*"
272,-0.317617370473162,0.0863273419996877,0.281773123177546,0.0980205688289168,0.0345618272896989,0.0721316208578536,"."
274,0.115848548977958,0.0829766733358118,0.300293744997873,0.0791726091754995,0.0483304000769392,0.19738117480983," "
276,0.000599963143249354,0.0914273926501123,0.313899378257413,0.0988558194632374,0.0325152220702363,0.12619262983344," "
278,0.555338775629906,0.0670710809468747,0.24019257357889,0.0474234722222587,0.0697686132379428,0.530241007658412," "
280,0.115895675908332,0.0961444445650021,0.290558729584636,0.118724095109872,0.0104772203921245,0.00354797743180035,"**"
282,0.321062088581956,0.0527148097590197,0.186092743313719,0.00335224033348853,0.0727338805747323,0.96669574629185," "
284,-0.313266386403079,0.107513678564108,0.360817874783554,0.119432457109003,0.0094321403661068,0.00260064041752872,"**"
286,-0.106266711128523,0.0653346427145417,0.293534646356,-0.00248627536692791,0.0566678335128603,0.975699586954808," "
288,0.00100079948968588,0.0943237133015165,0.334352094424492,0.0987646904914501,0.0337110846273958,0.207585895274326," "
290,0.0481056029144839,0.0693618787287036,0.214173006526461,0.0762444556652288,0.0512799086199433,0.231958566455086," "
292,0.337127743239105,0.0765191542259963,0.382251514018182,0.00881713934064739,0.0782977584882212,0.912587515539211," "
